V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,classLabel
0.8828125,2.2294418,79.158771,0.9027517,62.117647,0.44140625,1.1221847,12.356014,59.486038,0.003448486,13.638689,7549140.6,4481398.5,2290,1
5.0546875,4.4550398,110.91627,3.1608767,102.77185,2.5273438,6.62787,84.140421,1213.1952,0.019744873,84.231708,31831094,11919593,1600,1
5.0078125,7.614218,100.01065,6.3806232,75.728052,2.5039063,4.4209821,19.171788,108.71926,0.019561768,18.13851,12419931,5557835.9,1800,1
0.796875,1.9087836,83.16955,0.98300019,60.743034,0.3984375,0.9888781,14.992078,74.705231,0.003112793,15.316834,7480312.9,4529865.4,2260,1
0.40625,0.70361832,97.19457,0.78979091,106.30065,0.203125,0.50657442,50.254078,426.81294,0.001586914,54.936157,21904062,17463440,2910,0
10.742188,10.35834,85.44616,10.224519,82.249348,5.3710938,10.557359,82.575131,1267.477,0.04196167,93.228688,20039455,14929659,1920,1
0.765625,1.4767723,88.206483,1.0266803,63.804878,0.3828125,0.92986268,16.361065,100.32395,0.002990723,16.057026,7630015.5,4567469.1,2240,1
5,4.9755307,97.283824,4.7421713,89.946078,2.5,4.7708264,43.029515,393.77035,0.01953125,45.09463,15165080,5668901.3,1710,1
0.75,1.0039293,112.17647,0.60753147,94.395722,0.375,0.83548741,65.617003,786.61641,0.002929688,72.440096,28209730,20709257,2870,0
0.203125,0.49181289,98.171946,0.45994854,98.700767,0.1015625,0.32755407,43.608316,340.83994,0.000793457,46.042289,20454636,10062789,2920,0
0.4140625,0.69335818,107.82686,0.66920449,121.19457,0.20703125,0.64482052,89.407426,1393.3775,0.001617432,70.771079,22358839,17105558,2900,0
1.7265625,4.2587841,64.238488,1.6346812,57.901692,0.86328125,2.099687,30.951522,294.18895,0.006744385,30.067459,8921817.8,5383005.6,2200,1
1.90625,2.5914381,103.74156,2.4203732,83.718379,0.953125,2.4070464,28.858616,276.04713,0.007446289,28.504686,10104713,5032969.7,1760,1
0.6640625,1.3297169,80.653287,0.88165356,59.814241,0.33203125,0.91774947,13.93256,69.927726,0.002593994,17.206607,7443124.3,4538859.3,2330,1
9.0234375,10.008237,82.412834,7.4176416,83.397418,4.5117188,9.9913619,64.732352,899.63596,0.035247803,65.867777,18209757,10422234,1840,1
1.765625,2.9039326,99.029672,3.8499076,72.751165,0.8828125,1.6855608,19.518694,109.81003,0.006896973,22.789191,10024541,5407813.8,1780,1
